n_scan,static_ESS_mg,flowing_ESS_mg,static_sampling_variance_mg_g_sq,static_instrument_variance_mg_g_sq,static_total_variance_mg_g_sq,static_total_sd_mg_g,flowing_sampling_variance_mg_g_sq,flowing_instrument_variance_mg_g_sq,flowing_total_variance_mg_g_sq,flowing_total_sd_mg_g
33,25.0,825.0,1.44,0.2112121212121212,1.6512121212121211,1.2849949887887193,0.04363636363636364,0.2112121212121212,0.2548484848484849,0.5048252022715237
34,25.0,850.0,1.44,0.2076470588235294,1.6476470588235292,1.283607050005386,0.042352941176470586,0.2076470588235294,0.25,0.5
35,25.0,875.0,1.44,0.2042857142857143,1.6442857142857141,1.2822970460410934,0.04114285714285714,0.2042857142857143,0.24542857142857144,0.4954074801903696
36,25.0,900.0,1.44,0.2011111111111111,1.641111111111111,1.2810585900383755,0.04,0.2011111111111111,0.2411111111111111,0.4910306620885412
37,25.0,925.0,1.44,0.1981081081081081,1.6381081081081081,1.2798859746509093,0.03891891891891892,0.1981081081081081,0.23702702702702702,0.48685421537358287
38,25.0,950.0,1.44,0.19526315789473683,1.6352631578947368,1.2787740839940167,0.037894736842105266,0.19526315789473683,0.2331578947368421,0.48286426119235837
39,25.0,975.0,1.44,0.19256410256410256,1.6325641025641024,1.277718318943617,0.036923076923076927,0.19256410256410256,0.22948717948717948,0.4790482016323404
40,25.0,1000.0,1.44,0.19,1.63,1.2767145334803705,0.036,0.19,0.226,0.4753945729601885
41,25.0,1025.0,1.44,0.1875609756097561,1.627560975609756,1.2757589802191305,0.0351219512195122,0.1875609756097561,0.2226829268292683,0.47189291881661916
42,25.0,1050.0,1.44,0.18523809523809523,1.6252380952380951,1.2748482636133978,0.03428571428571429,0.18523809523809523,0.2195238095238095,0.4685336802448779
43,25.0,1075.0,1.44,0.18302325581395348,1.6230232558139535,1.2739792996018238,0.03348837209302326,0.18302325581395348,0.21651162790697676,0.4653080999799775
44,25.0,1100.0,1.44,0.1809090909090909,1.6209090909090909,1.2731492806851405,0.03272727272727273,0.1809090909090909,0.21363636363636362,0.4622081388685877
45,25.0,1125.0,1.44,0.17888888888888888,1.6188888888888888,1.2723556455994876,0.032,0.17888888888888888,0.21088888888888888,0.45922640264785397
