ESS_mg,sigma_floor_variance_mg_g_sq,k,b,observed_variance_mg_g_sq,observed_sd_mg_g
273.0,0.16,36.0,1.0,0.2918681318681319,0.540248213202165
274.0,0.16,36.0,1.0,0.2913868613138686,0.5398026132892176
275.0,0.16,36.0,1.0,0.2909090909090909,0.5393598899705937
276.0,0.16,36.0,1.0,0.29043478260869565,0.5389200150381276
277.0,0.16,36.0,1.0,0.2899638989169675,0.5384829606561079
278.0,0.16,36.0,1.0,0.28949640287769784,0.5380486993550843
279.0,0.16,36.0,1.0,0.28903225806451616,0.5376172040257977
280.0,0.16,36.0,1.0,0.2885714285714286,0.5371884479132333
281.0,0.16,36.0,1.0,0.2881138790035587,0.5367624046107912
282.0,0.16,36.0,1.0,0.2876595744680851,0.5363390480545726
283.0,0.16,36.0,1.0,0.287208480565371,0.5359183525177795
284.0,0.16,36.0,1.0,0.28676056338028166,0.535500292605225
285.0,0.16,36.0,1.0,0.2863157894736842,0.5350848432479509
286.0,0.16,36.0,1.0,0.28587412587412586,0.5346719796979508
287.0,0.16,36.0,1.0,0.2854355400696864,0.5342616775229966
288.0,0.16,36.0,1.0,0.28500000000000003,0.5338539126015656
289.0,0.16,36.0,1.0,0.2845674740484429,0.5334486611178652
290.0,0.16,36.0,1.0,0.28413793103448276,0.5330458995569545
291.0,0.16,36.0,1.0,0.2837113402061856,0.5326456046999596
292.0,0.16,36.0,1.0,0.2832876712328767,0.5322477536193804
293.0,0.16,36.0,1.0,0.2828668941979522,0.5318523236744879
294.0,0.16,36.0,1.0,0.28244897959183674,0.5314592925068078
295.0,0.16,36.0,1.0,0.28203389830508474,0.5310686380356919
296.0,0.16,36.0,1.0,0.28162162162162163,0.5306803384539714
297.0,0.16,36.0,1.0,0.28121212121212125,0.5302943722236936
298.0,0.16,36.0,1.0,0.2808053691275168,0.5299107180719379
299.0,0.16,36.0,1.0,0.28040133779264215,0.5295293549867109
300.0,0.16,36.0,1.0,0.28,0.5291502622129182
301.0,0.16,36.0,1.0,0.2796013289036545,0.5287734192484098
302.0,0.16,36.0,1.0,0.279205298013245,0.5283988058401012
303.0,0.16,36.0,1.0,0.27881188118811884,0.528026401980165
304.0,0.16,36.0,1.0,0.27842105263157896,0.5276561879022921
305.0,0.16,36.0,1.0,0.2780327868852459,0.5272881440780229
306.0,0.16,36.0,1.0,0.2776470588235294,0.5269222512131457
307.0,0.16,36.0,1.0,0.27726384364820844,0.5265584902441593
308.0,0.16,36.0,1.0,0.2768831168831169,0.5261968423348024
309.0,0.16,36.0,1.0,0.276504854368932,0.5258372888726436
310.0,0.16,36.0,1.0,0.2761290322580645,0.5254798114657351
311.0,0.16,36.0,1.0,0.2757556270096463,0.5251243919393255
312.0,0.16,36.0,1.0,0.2753846153846154,0.524771012332632
313.0,0.16,36.0,1.0,0.27501597444089454,0.5244196548956709
314.0,0.16,36.0,1.0,0.2746496815286624,0.5240703020861441
315.0,0.16,36.0,1.0,0.2742857142857143,0.5237229365663817
316.0,0.16,36.0,1.0,0.27392405063291136,0.5233775412003379
317.0,0.16,36.0,1.0,0.2735646687697161,0.5230340990506414
318.0,0.16,36.0,1.0,0.2732075471698113,0.5226925933756966
319.0,0.16,36.0,1.0,0.2728526645768025,0.5223530076268371
320.0,0.16,36.0,1.0,0.2725,0.5220153254455275
321.0,0.16,36.0,1.0,0.27214953271028036,0.5216795306606158
322.0,0.16,36.0,1.0,0.27180124223602486,0.5213456072856324
323.0,0.16,36.0,1.0,0.2714551083591331,0.5210135395161368
324.0,0.16,36.0,1.0,0.2711111111111111,0.5206833117271102
325.0,0.16,36.0,1.0,0.27076923076923076,0.5203549084703927
326.0,0.16,36.0,1.0,0.27042944785276074,0.5200283144721648
327.0,0.16,36.0,1.0,0.2700917431192661,0.5197035146304728
328.0,0.16,36.0,1.0,0.2697560975609756,0.5193804940127956
329.0,0.16,36.0,1.0,0.2694224924012158,0.5190592378536536
330.0,0.16,36.0,1.0,0.2690909090909091,0.5187397315522584
331.0,0.16,36.0,1.0,0.26876132930513597,0.5184219606702015
332.0,0.16,36.0,1.0,0.26843373493975903,0.5181059109291835
333.0,0.16,36.0,1.0,0.26810810810810815,0.5177915682087805
334.0,0.16,36.0,1.0,0.26778443113772454,0.5174789185442481
335.0,0.16,36.0,1.0,0.2674626865671642,0.5171679481243634
336.0,0.16,36.0,1.0,0.2671428571428571,0.5168586432893012
337.0,0.16,36.0,1.0,0.26682492581602374,0.5165509905285477
338.0,0.16,36.0,1.0,0.266508875739645,0.5162449764788467
339.0,0.16,36.0,1.0,0.2661946902654867,0.5159405879221819
340.0,0.16,36.0,1.0,0.26588235294117646,0.5156378117837912
341.0,0.16,36.0,1.0,0.26557184750733137,0.5153366351302141
342.0,0.16,36.0,1.0,0.26526315789473687,0.5150370451673713
343.0,0.16,36.0,1.0,0.26495626822157436,0.5147390292386759
344.0,0.16,36.0,1.0,0.26465116279069767,0.5144425748231747
345.0,0.16,36.0,1.0,0.2643478260869565,0.5141476695337212
346.0,0.16,36.0,1.0,0.26404624277456645,0.5138543011151765
347.0,0.16,36.0,1.0,0.2637463976945245,0.5135624574426411
348.0,0.16,36.0,1.0,0.263448275862069,0.5132721265197137
349.0,0.16,36.0,1.0,0.2631518624641834,0.5129832964767794
350.0,0.16,36.0,1.0,0.26285714285714284,0.5126959555693246
351.0,0.16,36.0,1.0,0.26256410256410256,0.5124100921762789
352.0,0.16,36.0,1.0,0.26227272727272727,0.5121256947983838
353.0,0.16,36.0,1.0,0.2619830028328612,0.5118427520565874
354.0,0.16,36.0,1.0,0.26169491525423727,0.5115612526904645
355.0,0.16,36.0,1.0,0.26140845070422536,0.5112811855566616
356.0,0.16,36.0,1.0,0.261123595505618,0.5110025396273662
357.0,0.16,36.0,1.0,0.2608403361344538,0.5107253039888016
358.0,0.16,36.0,1.0,0.26055865921787713,0.5104494678397433
359.0,0.16,36.0,1.0,0.26027855153203344,0.5101750204900602
360.0,0.16,36.0,1.0,0.26,0.5099019513592785
361.0,0.16,36.0,1.0,0.2597229916897507,0.5096302499751665
362.0,0.16,36.0,1.0,0.2594475138121547,0.5093599059723436
363.0,0.16,36.0,1.0,0.2591735537190083,0.5090909090909091
364.0,0.16,36.0,1.0,0.2589010989010989,0.5088232491750931
365.0,0.16,36.0,1.0,0.2586301369863014,0.508556916171928
366.0,0.16,36.0,1.0,0.25836065573770495,0.5082919001299401
367.0,0.16,36.0,1.0,0.25809264305177115,0.5080281911978617
368.0,0.16,36.0,1.0,0.25782608695652176,0.5077657796233631
369.0,0.16,36.0,1.0,0.2575609756097561,0.507504655751803
370.0,0.16,36.0,1.0,0.25729729729729733,0.507244810024999
371.0,0.16,36.0,1.0,0.25703504043126685,0.5069862329800158
372.0,0.16,36.0,1.0,0.2567741935483871,0.5067289152479727
373.0,0.16,36.0,1.0,0.256514745308311,0.5064728475528683
374.0,0.16,36.0,1.0,0.2562566844919786,0.5062180207104233
375.0,0.16,36.0,1.0,0.256,0.5059644256269407
376.0,0.16,36.0,1.0,0.25574468085106383,0.5057120532981826
377.0,0.16,36.0,1.0,0.25549071618037134,0.5054608948082644
378.0,0.16,36.0,1.0,0.25523809523809526,0.5052109413285655
379.0,0.16,36.0,1.0,0.2549868073878628,0.5049621841166552
380.0,0.16,36.0,1.0,0.25473684210526315,0.5047146145152359
381.0,0.16,36.0,1.0,0.2544881889763779,0.5044682239511007
382.0,0.16,36.0,1.0,0.2542408376963351,0.5042230039341076
383.0,0.16,36.0,1.0,0.2539947780678851,0.5039789460561672
384.0,0.16,36.0,1.0,0.25375000000000003,0.5037360419902471
385.0,0.16,36.0,1.0,0.2535064935064935,0.5034942834893893
386.0,0.16,36.0,1.0,0.25326424870466324,0.5032536623857429
387.0,0.16,36.0,1.0,0.25302325581395346,0.5030141705896102
388.0,0.16,36.0,1.0,0.2527835051546392,0.5027758000885079
389.0,0.16,36.0,1.0,0.25254498714652956,0.5025385429462397
390.0,0.16,36.0,1.0,0.25230769230769234,0.5023023913019848
391.0,0.16,36.0,1.0,0.25207161125319694,0.502067337369398
392.0,0.16,36.0,1.0,0.2518367346938776,0.5018333734357228
393.0,0.16,36.0,1.0,0.2516030534351145,0.5016004918609177
394.0,0.16,36.0,1.0,0.2513705583756345,0.501368685076795
395.0,0.16,36.0,1.0,0.25113924050632913,0.5011379455861721
396.0,0.16,36.0,1.0,0.2509090909090909,0.5009082659620331
397.0,0.16,36.0,1.0,0.2506801007556675,0.5006796388467055
398.0,0.16,36.0,1.0,0.25045226130653264,0.5004520569510457
399.0,0.16,36.0,1.0,0.25022556390977446,0.500225513053637
400.0,0.16,36.0,1.0,0.25,0.5
401.0,0.16,36.0,1.0,0.24977556109725685,0.49977551070181186
402.0,0.16,36.0,1.0,0.24955223880597016,0.4995520381361387
403.0,0.16,36.0,1.0,0.24933002481389577,0.4993295753446773
404.0,0.16,36.0,1.0,0.2491089108910891,0.49910811543300826
