setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.4,0.0004,0.04,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.926990816987241e-06,0.003926990816987241,3.926990816987241,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,6.544984694978735e-06,0.006544984694978735,6.544984694978735,6.544984694978735
B,0.4,0.0004,0.04,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.926990816987241e-06,0.003926990816987241,3.926990816987241,500,10.0,5.0,5.0,4.0,0.25,1.25,4.908738521234052e-06,0.004908738521234052,4.908738521234052,4.908738521234052
B,0.4,0.0004,0.04,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.926990816987241e-06,0.003926990816987241,3.926990816987241,500,10.0,5.0,5.0,5.0,0.2,1.0,3.926990816987241e-06,0.003926990816987241,3.926990816987241,3.926990816987241
B,0.4,0.0004,0.04,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,500,10.0,5.0,5.0,1.0,1.0,5.0,2.356194490192345e-05,0.02356194490192345,23.56194490192345,23.56194490192345
B,0.4,0.0004,0.04,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,500,10.0,5.0,5.0,2.0,0.5,2.5,1.1780972450961725e-05,0.011780972450961725,11.780972450961725,11.780972450961725
B,0.4,0.0004,0.04,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,7.853981633974484e-06,0.007853981633974483,7.853981633974484,7.853981633974484
B,0.4,0.0004,0.04,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,500,10.0,5.0,5.0,4.0,0.25,1.25,5.890486225480862e-06,0.005890486225480863,5.8904862254808625,5.8904862254808625
B,0.4,0.0004,0.04,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,500,10.0,5.0,5.0,5.0,0.2,1.0,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,4.71238898038469
B,0.5,0.0005,0.05,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,3.926990816987242e-06,0.003926990816987242,3.926990816987242,500,10.0,5.0,5.0,1.0,1.0,5.0,1.963495408493621e-05,0.01963495408493621,19.63495408493621,19.63495408493621
B,0.5,0.0005,0.05,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,3.926990816987242e-06,0.003926990816987242,3.926990816987242,500,10.0,5.0,5.0,2.0,0.5,2.5,9.817477042468105e-06,0.009817477042468105,9.817477042468106,9.817477042468106
B,0.5,0.0005,0.05,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,3.926990816987242e-06,0.003926990816987242,3.926990816987242,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,6.544984694978737e-06,0.006544984694978737,6.544984694978737,6.544984694978737
B,0.5,0.0005,0.05,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,3.926990816987242e-06,0.003926990816987242,3.926990816987242,500,10.0,5.0,5.0,4.0,0.25,1.25,4.9087385212340526e-06,0.004908738521234053,4.908738521234053,4.908738521234053
B,0.5,0.0005,0.05,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,3.926990816987242e-06,0.003926990816987242,3.926990816987242,500,10.0,5.0,5.0,5.0,0.2,1.0,3.926990816987242e-06,0.003926990816987242,3.926990816987242,3.926990816987242
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,1.0,1.0,5.0,2.4543692606170257e-05,0.024543692606170255,24.543692606170254,24.543692606170254
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,2.0,0.5,2.5,1.2271846303085128e-05,0.012271846303085128,12.271846303085127,12.271846303085127
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,8.18123086872342e-06,0.00818123086872342,8.181230868723421,8.181230868723421
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,4.0,0.25,1.25,6.135923151542564e-06,0.006135923151542564,6.135923151542563,6.135923151542563
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,5.0,0.2,1.0,4.908738521234052e-06,0.004908738521234052,4.908738521234052,4.908738521234052
B,0.5,0.0005,0.05,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,5.890486225480862e-06,0.005890486225480863,5.8904862254808625,500,10.0,5.0,5.0,1.0,1.0,5.0,2.9452431127404314e-05,0.029452431127404314,29.452431127404314,29.452431127404314
